,date,time,current_team,opponent,game_result,team_score,opp_score,spread_result,spread,ou_result,ou_line,year
207,2021-11-7,1:00,BAL,JAX,L,6,9,L,-14.5,U,48.5,2021
208,2021-11-14,1:00,BAL,NYJ,W,45,17,W,-13.0,O,47.5,2021
209,2021-11-21,1:00,BAL,IND,L,15,41,L,-7.0,O,49.5,2021
210,2021-11-25,8:20,BAL,NOS,W,31,6,W,-6.5,U,45,2021
211,2021-12-6,8:15,BAL,NWE,L,10,14,L,-2.5,U,41,2021
212,2021-12-12,4:25,BAL,TBB,L,27,33,L,3.5,O,54.5,2021
213,2021-12-19,1:00,BAL,CAR,W,31,14,W,-14.5,O,43,2021
214,2021-12-26,1:00,BAL,NWE,W,33,21,W,1.5,O,43.5,2021
215,2022-01-2,1:00,BAL,ATL,W,29,15,L,-14.5,P,44,2022
216,2022-01-9,1:00,BAL,NYJ,W,27,10,W,-16.5,U,40.5,2022
217,2022-01-15,8:15,BAL,NWE,W,47,17,W,-4.0,O,44,2022
218,2022-01-23,6:30,BAL,KAN,L,36,42,L,2.0,O,54.5,2022
219,2020-09-13,1:00,BAL,NYJ,W,27,17,W,-6.5,O,39.5,2020
220,2020-09-20,1:00,BAL,MIA,W,31,28,L,-5.5,O,42.5,2020
221,2020-09-27,1:00,BAL,LAR,W,35,32,W,-1.5,O,46.5,2020
222,2020-10-4,4:25,BAL,LVR,W,30,23,W,-3.0,P,53,2020
223,2020-10-13,7:00,BAL,TEN,L,16,42,L,-3.0,O,52,2020
224,2020-10-19,5:00,BAL,KAN,L,17,26,L,5.5,U,55,2020
225,2020-10-25,1:00,BAL,NYJ,W,18,10,L,-9.5,U,47,2020
226,2020-11-1,1:00,BAL,NWE,W,24,21,L,-4.0,O,41,2020
227,2020-11-8,1:00,BAL,SEA,W,44,34,W,3.0,O,55.5,2020
228,2020-11-15,4:04,BAL,ARI,L,30,32,W,3.0,O,56,2020
229,2020-11-29,1:00,BAL,LAC,W,27,17,W,-4.5,U,51.5,2020
230,2020-12-7,8:15,BAL,SFF,W,34,24,W,1.5,O,48,2020
231,2020-12-13,8:20,BAL,PIT,W,26,15,W,-2.0,U,48.5,2020
232,2020-12-19,4:30,BAL,DEN,W,48,19,W,-5.5,O,49,2020
233,2020-12-28,8:15,BAL,NWE,W,38,9,W,-7.0,U,47.5,2020
234,2021-01-3,1:00,BAL,MIA,W,56,26,W,3.5,O,43,2021
235,2021-01-9,1:05,BAL,IND,W,27,24,L,-7.0,O,50.5,2021
236,2021-01-16,8:15,BAL,BAL,W,17,3,W,-2.5,U,49.5,2021
237,2021-01-24,6:40,BAL,KAN,L,24,38,L,3.0,O,55,2021
238,2019-09-8,1:00,BAL,NYJ,W,17,16,W,2.5,U,41,2019
239,2019-09-15,1:00,BAL,NYG,W,28,14,W,-1.0,U,44.5,2019
240,2019-09-22,1:00,BAL,CIN,W,21,17,L,-5.5,U,43.5,2019
241,2019-09-29,1:00,BAL,NWE,L,10,16,W,7.0,U,41.5,2019
242,2019-10-6,1:00,BAL,TEN,W,14,7,W,3.5,U,39.5,2019
243,2019-10-20,1:00,BAL,MIA,W,31,21,L,-17.0,O,42.5,2019
244,2019-10-27,1:00,BAL,PHI,L,13,31,L,-1.0,O,39.5,2019
245,2019-11-3,1:00,BAL,WAS,W,24,9,W,-10.5,U,37,2019
246,2019-11-10,1:00,BAL,CLE,L,16,19,P,3.0,U,42,2019
247,2019-11-17,1:00,BAL,MIA,W,37,20,W,-7.0,O,41.5,2019
248,2019-11-24,1:00,BAL,DEN,W,20,3,W,-3.5,U,37,2019
249,2019-11-28,4:30,BAL,DAL,W,26,15,W,6.5,U,46.5,2019
250,2019-12-8,1:00,BAL,BAL,L,17,24,L,6.5,U,44,2019
251,2019-12-15,8:20,BAL,PIT,W,17,10,W,1.0,U,37,2019
252,2019-12-21,4:30,BAL,NWE,L,17,24,P,7.0,O,38.5,2019
253,2019-12-29,1:00,BAL,NYJ,L,6,13,L,1.5,U,37,2019
254,2020-01-4,4:35,BAL,HOU,L,19,22,L,2.5,U,43,2020
255,2018-09-9,1:00,BAL,BAL,L,3,47,L,7.5,O,39,2018
256,2018-09-16,1:00,BAL,LAC,L,20,31,L,7.5,O,41.5,2018
257,2018-09-23,1:00,BAL,MIN,W,27,6,W,16.5,U,41,2018
258,2018-09-30,1:00,BAL,GBP,L,0,22,L,8.5,U,43.5,2018
259,2018-10-7,1:00,BAL,TEN,W,13,12,W,6.0,U,38.5,2018
260,2018-10-14,1:00,BAL,HOU,L,13,20,W,10.5,U,40.5,2018
261,2018-10-21,1:00,BAL,IND,L,5,37,L,7.0,U,43.5,2018
262,2018-10-29,8:15,BAL,NWE,L,6,25,L,13.5,U,44.5,2018
263,2018-11-4,1:00,BAL,CHI,L,9,41,L,10.5,O,38,2018
264,2018-11-11,1:00,BAL,NYJ,W,41,10,W,7.0,O,38,2018
265,2018-11-25,1:00,BAL,JAX,W,24,21,W,3.0,O,36.5,2018
266,2018-12-2,1:00,BAL,MIA,L,17,21,L,3.5,U,40,2018
267,2018-12-9,1:00,BAL,NYJ,L,23,27,L,-4.5,O,37,2018
268,2018-12-16,1:00,BAL,DET,W,14,13,L,-2.5,U,40,2018
269,2018-12-23,1:00,BAL,NWE,L,12,24,W,13.5,U,45,2018
270,2018-12-30,1:00,BAL,MIA,W,42,17,W,-5.5,O,39.5,2018
271,2017-09-10,1:00,BAL,NYJ,W,21,12,W,-7.0,U,42,2017
272,2017-09-17,1:00,BAL,CAR,L,3,9,W,6.5,U,43,2017
273,2017-09-24,1:00,BAL,DEN,W,26,16,W,3.5,O,40,2017
274,2017-10-1,1:00,BAL,ATL,W,23,17,W,8.0,U,48,2017
275,2017-10-8,1:00,BAL,CIN,L,16,20,L,3.0,U,39,2017
276,2017-10-22,1:00,BAL,TBB,W,30,27,P,-3.0,O,46.5,2017
277,2017-10-29,1:00,BAL,LVR,W,34,14,W,-2.0,O,47,2017
278,2017-11-2,8:24,BAL,NYJ,L,21,34,L,-3.0,O,42,2017
279,2017-11-12,1:00,BAL,NOS,L,10,47,L,2.0,O,48.5,2017
280,2017-11-19,4:04,BAL,LAC,L,24,54,L,7.0,O,41.5,2017
281,2017-11-26,1:00,BAL,KAN,W,16,10,W,8.5,U,47,2017
282,2017-12-3,1:00,BAL,NWE,L,3,23,L,7.5,U,48.5,2017
283,2017-12-10,1:00,BAL,IND,W,13,7,W,-3.5,U,36.5,2017
284,2017-12-17,1:00,BAL,MIA,W,24,16,W,-3.5,O,39.5,2017
285,2017-12-24,1:00,BAL,NWE,L,16,37,L,11.0,O,47.5,2017
286,2017-12-31,4:25,BAL,MIA,W,22,16,W,-2.5,U,41.5,2017
287,2018-01-7,1:05,BAL,JAX,L,3,10,W,8.0,U,39.5,2018
288,2016-09-11,1:04,BAL,BAL,L,7,13,L,3.0,U,44.5,2016
289,2016-09-15,8:26,BAL,NYJ,L,31,37,L,-1.0,O,40.5,2016
290,2016-09-25,1:02,BAL,ARI,W,33,18,W,5.0,O,48,2016
291,2016-10-2,1:02,BAL,NWE,W,16,0,W,3.5,U,41,2016
292,2016-10-9,4:25,BAL,LAR,W,30,19,W,-2.5,O,41.5,2016
293,2016-10-16,1:02,BAL,SFF,W,45,16,W,-7.5,O,44,2016
294,2016-10-23,1:02,BAL,MIA,L,25,28,L,-2.5,O,46,2016
295,2016-10-30,1:02,BAL,NWE,L,25,41,L,5.5,O,48,2016
296,2016-11-7,8:30,BAL,SEA,L,25,31,L,5.5,O,43.5,2016
297,2016-11-20,1:00,BAL,CIN,W,16,12,W,2.5,U,48,2016
298,2016-11-27,1:00,BAL,JAX,W,28,21,L,-8.5,O,43.5,2016
299,2016-12-4,4:04,BAL,LVR,L,24,38,L,3.0,O,48.5,2016
300,2016-12-11,1:00,BAL,PIT,L,20,27,L,1.0,O,45.5,2016
301,2016-12-18,1:00,BAL,CLE,W,33,13,W,-10.5,O,43,2016
302,2016-12-24,1:00,BAL,MIA,L,31,34,L,-4.5,O,44.5,2016
303,2017-01-1,1:00,BAL,NYJ,L,10,30,L,-3.5,U,43,2017
304,2015-09-13,1:02,BAL,IND,W,27,14,W,2.5,U,45,2015
305,2015-09-20,1:02,BAL,NWE,L,32,40,L,1.0,O,44,2015
306,2015-09-27,4:25,BAL,MIA,W,41,14,W,2.5,O,41.5,2015
307,2015-10-4,1:02,BAL,NYG,L,10,24,L,-5.5,U,45.5,2015
